Question,Answer
how do i submit EC claims,"To submit an extenuating circumstance request you must log a claim through the online extenuating circumstances task on MySIS, following the instructions there. Claims must be submitted by the relevant EC deadline. For in-term assessments, that would be within seven calendar days of the original deadline. For end of semester examinations, the EC deadline would be within seven calendar days of the end of the examination period that the exam took place. Please see our EC submission deadline tool for more info.

A standard EC claim must be accompanied by relevant supporting evidence (for example medical certification, death certificate, police report and crime number, or other written evidence from a person in authority). Please note that although accompanying documentation can be submitted after the claim, claims without any evidence cannot be considered except in the limited cases permitted for self-certification, below. It is in your best interest to provide evidence and supporting documentation that is as comprehensive as possible."
what are tutorials?,"Like labs, some modules use exercise classes in order to give students practical experience of applying concepts discussed during lectures. Classes are usually held in a seminar room, and are often based on pen-and-paper tasks. Teaching Assistants (typically members of staff or postgraduate research students) will be on hand to answer questions and check solutions. The Teaching Assistants will not solve the problem on the student’s behalf, but will try to guide them towards finding a solution themselves. Set tasks are usually assigned in advance, and students should look at them before the class, if possible, and identify any problems, so that they can ask about these during the exercise class. Students should attempt to complete the tasks while help is at hand; if the work cannot be finished in the timetabled exercise class slot, students may finish it in their own time (but without the help of teaching Assistants).

A module will often have several time-slots set aside for exercise classes, and each student will be assigned to a group, which has an individual time-slot. Exercise classes are often run in the Temporary building, or in small seminar or lecture rooms elsewhere in the College. Groups and time-slots for individual modules are usually on QM Plus or individual Timetable. If a student wishes to change groups or time-slots, s/he must have good reason, e.g. a timetable clash. Changes cannot be made for other, more minor reasons; it is the student’s responsibility to be available during timetabled hours in term-time."
what are the requirements to enrol in Advanced computer science Msc,"UK
Degree requirements
A 2:1 or above at undergraduate level in Electronic Engineering, Computer Science, Software Engineering, Information Technology, Mathematics or a related discipline.

Other routes
Applicants with a good 2:2 degree (55% or above) will be considered on an individual basis."
what are the english requirements for postgraduate courses,"The English Language requirements for entry to postgraduate taught and research programmes in the School of Electronic Engineering and Computer Science falls within the following English band:

Band 4: IELTS (Academic) minimum score 6.5 overall with 6.0 in each of Writing, Listening, Reading and Speaking"
what are the part time fees for postgraduate courses,"
Home: £6,450
Overseas: £16,750"
what is the structure of Artificial intelligence Msc,"Structure
Four compulsory modules
Four elective modules under one educational stream
Compulsory 10,000-15,000 dissertation/final project
In addition to the compulsory modules, you will also choose one educational stream from the two options below.

Language and Agents stream (default)
This stream focuses on providing students with practical skills in speech and language processing technologies. Students learn to construct systems for understanding spoken and written languages using advanced techniques like Large Language Models and Conversational Agents. The curriculum emphasises hands-on experience in text classification, sentiment analysis, and extracting insights from extensive textual datasets. Concurrently, the programme enhances students' abilities to create intelligent AI agents for making informed decisions in complex environments. Coursework also explores AI techniques in games, contributing to a comprehensive understanding of language processing and intelligent agent development.
Semester A

Machine Learning
Artificial Intelligence
Natural Language Processing
Statistical Planning and Reinforcement Learning
Semester B

Ethics, Regulation and Law in Advanced Digital Information Processing and Decision Making
Information Retrieval
Neural Networks and NLP
Conversational Agents and Dialogue Systems
Multimodal AI stream
This stream examines the intersection of AI, Computer Vision, and Creative Domains. Students will explore the latest methods for image processing and pattern recognition, delving into the multifaceted applications of AI across Creative Domains such as audio, music, game design, fiction writing, and artworks. The programme covers both practical skills and the philosophy and science underpinning AI systems with creative responsibilities. Modules prioritise hands-on experience, enabling students to apply theoretical knowledge and develop a robust skill set in Multimodal AI.

Semester A

Machine Learning
Artificial Intelligence
Natural Language Processing
Introduction to Computer Vision
Semester B

Ethics, Regulation and Law in Advanced Digital Information Processing and Decision Making
Deep Learning for Audio and Music
Deep Learning for Computer Vision
Computational Creativity"
where will courses be taught?,"Teaching is based at Queen Mary’s main Mile End campus, one of the largest self-contained residential campuses in the capital. Our location in the heart of London’s East End offers a rich cultural environment.

We have invested £105m in new facilities over the past five years to offer our students an exceptional learning environment. Recent developments include the £39m Graduate Centre, providing 7,700 square metres of learning and teaching space.

The campus is 15 minutes by tube from Central London, where you will have access to many of the University of London’s facilities, such as the Senate House library."
what are the full time study fees for machine learning for visual data analytics?,"Full-time study
September 2025 | 1 year

Home: £12,850
Overseas: £29,950
EU/EEA/Swiss students
Conditional deposit
Home: £2000

Overseas: £2000
Information about deposits"
what does the computer games course teach?,"Our world-class teaching, research and industrial contacts will support you as you learn to describe, compare and apply a range of AI, machine learning and data science methods to the development and design of games.

The taught modules aim to teach you to:

Programme computer games using industry-relevant technologies.
Compare and select appropriate technologies in the context of game development.
Identify theories and principles of game design and apply them to analyse specific games.
Describe, compare and apply computational approaches to game-playing, interactive agents, content generation, and player modelling.
Identify current trends in the games and AI industries.
You will work closely with your lecturers and supervisors to carry out a major project on a computer games topic that you want to specialise in."
where will i study for sound and music computing?,"Our world-class teaching, research and industrial contacts will support you as you learn to describe, compare and apply a range of AI, machine learning and data science methods to the development and design of games.

The taught modules aim to teach you to:

Programme computer games using industry-relevant technologies.
Compare and select appropriate technologies in the context of game development.
Identify theories and principles of game design and apply them to analyse specific games.
Describe, compare and apply computational approaches to game-playing, interactive agents, content generation, and player modelling.
Identify current trends in the games and AI industries.
You will work closely with your lecturers and supervisors to carry out a major project on a computer games topic that you want to specialise in."
what will i learn in electronics engineering by research ,"Our world-class teaching, research and industrial contacts will support you as you learn to describe, compare and apply a range of AI, machine learning and data science methods to the development and design of games.

The taught modules aim to teach you to:

Programme computer games using industry-relevant technologies.
Compare and select appropriate technologies in the context of game development.
Identify theories and principles of game design and apply them to analyse specific games.
Describe, compare and apply computational approaches to game-playing, interactive agents, content generation, and player modelling.
Identify current trends in the games and AI industries.
You will work closely with your lecturers and supervisors to carry out a major project on a computer games topic that you want to specialise in."
what are my job prospects after taking the data science course?,"Our world-class teaching, research and industrial contacts will support you as you learn to describe, compare and apply a range of AI, machine learning and data science methods to the development and design of games.

The taught modules aim to teach you to:

Programme computer games using industry-relevant technologies.
Compare and select appropriate technologies in the context of game development.
Identify theories and principles of game design and apply them to analyse specific games.
Describe, compare and apply computational approaches to game-playing, interactive agents, content generation, and player modelling.
Identify current trends in the games and AI industries.
You will work closely with your lecturers and supervisors to carry out a major project on a computer games topic that you want to specialise in."
can undergraduate computer science be taken with an industrial year ,"This degree can be taken with an optional industrial experience year, spent working in a role related to your field of study. This is taken in your third year of studies. Past students have worked with companies including:

Accenture
Canon Europe
GlaxoSmithKline
IBM
The Walt Disney Company
Find out more about degrees with industrial experience.

Please note that industrial placements are highly competitive and awarded based on application, academic track record and performance at interview. If you are not successful in securing a placement, your third year will be spent at Queen Mary completing your studies."
who can i go to for career support?,"Career support
Our Careers and Enterprise service run regular employability events and workshops, and host industry speakers on campus. We have recently welcomed speakers from companies including IBM, Amazon Web Services and FDM Group.

The Queen Mary careers team can offer:

specialist advice on choosing a career path,
support with finding work experience, internships and jobs,
feedback on CVs, cover letters and application forms,
interview coaching.
Learn more about career support and development at Queen Mary.

We also have an industrial placement advisor within our School, who supports students with finding and applying to year-long placement"
what does year 2 of computer science look like?,"Year 2
Semester 3
ECS505U - Software Engineering (15 credits)
ECS509U - Probability and Matrices (15 credits)
ECS519U - Database Systems (15 credits
ECS529U - Algorithms and Data Structures (15 credits)
Semester 4
ECS506U - Software Engineering Project (15 credits)
ECS518U - Operating Systems (15 credits)
ECS522U - Graphical User Interfaces (15 credits)                 
ECS524U - Internet Protocols and Applications (15 credits)
Optional summer internship
ECS620U - Optional credit-bearing summer internship (15 credits), offered between second and final year."
what are the A level grade requirements for Computer systems engineering?,Grades ABB at A-Level. This must include A-Level Mathematics. Excludes General Studies and Critical Thinking.
what study options are available to computer science and artificial intelligence Bsc,"Study options
Apply for this degree with any of the following options. Take care to use the correct UCAS code - it may not be possible to change your selection later.

Year in industry
This degree can be taken with an optional industrial experience year, spent working in a role related to your field of study. This is taken in your third year of studies. Past students from our School have worked with companies including:

Accenture
Canon Europe
GlaxoSmithKline
IBM
The Walt Disney Company.
Find out more about degrees with industrial experience.

Please note that industrial placements are highly competitive and awarded based on application, academic track record and performance at interview. If you are not successful in securing a placement, your third year will be spent at Queen Mary completing your studies.

Year abroad
Go global and add an optional year abroad to your degree. Our School has a wide range of international partners all over the world.

Find out more about study abroad opportunities at Queen Mary.

Please note - you can either do a year in industry or a year abroad - you cannot combine these options."
what does the foundation year of electrical and electronic engineering look like?,"Year 0
Foundation
Semester 1
Communication in Science and Technology
Semester 2
Further Mathematics
Year-long modules
Science and Engineering Success
Foundations of Chemical Science
Foundations of Physical Science
Foundations of Engineering
Mathematics B
Please note that all modules are subject to change."
what are the a level requirements for computer science msci,"Grades A*AA at A-Level. This must include one of A-Level Mathematics, Computer Science, or Physics."
what modules are in the third year of computer science with Artificial intelligence,"Year 3
ECS635U - Project (30 credits)
ECS663U - Principles of Machine Learning (15 credits)
ECS647U - Bayesian Decision and Risk Analysis (15 Credits) 
Choose two from:

ECS607U - Data Mining (15 credits)
ECS640U - Big Data Processing (15 credits)
ECS657U - Multi-platform Game Development (15 credits)
ECS658U - Further Object Oriented Programming (15 credits)
ECS666U - Logic in Computer Science (15 credits)
ECS669U - Computational Imaging (15 credits)
Choose two from:

ECS605U - Image Processing (15 credits)
ECS655U - Security Engineering (15 credits)
ECS656U - Distributed Systems (15 credits)
ECS659U - Neural Networks and Deep Learning (15 credits)
ECS665U - Introduction to Natural Language Processing (15 credits)
ECS668U - Computational Game Design (15 credits)"
how long is computer science with an industrial year,4 years
what modules are in year 2 of computer science with management,"Year 2
Semester 3
ECS505U - Software Engineering  (15 credits)
ECS519U - Database Systems (15 credits)
Plus two modules from:

ECS529U - Algorithms and Data Structure (15 credits)
ECS531U - Business Modelling (15 credits)
BBUS245 - Financial Markets and Securities (15 credits)
Semester 4
ECS506U - Software Engineering Project (15 credits)
ECS524U - Internet Protocols and Applications (15 credits)
BUS101 - Introduction to Marketing and Communications (15 credits)
Plus one module from:

ECS508U - Business Information Systems (15 credits)
ECS518U - Operating Systems (15 credits)
Optional summer internship"
